Simulation Results:
Method: GPU
Path check-points: 9
Rays per check-point: 1000
Total Hits: 846
Total Rays: 9000
Hit Ratio: 9.4 %%
Total polygons: 902
Time [seconds]: 0.006
Time [millisec]: 6
Time [microsec]: 6230

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.211,0.174,-0.447) - 0.599
(0.254,0.197,-0.465) - 0.608
(0.186,0.214,-0.429) - 0.618
(0.250,0.146,-0.433) - 0.619
(0.208,0.126,-0.403) - 0.625
(0.231,0.239,-0.446) - 0.629
(0.180,0.164,-0.389) - 0.637
(0.245,0.094,-0.399) - 0.637
(0.277,0.267,-0.462) - 0.646
(0.204,0.281,-0.433) - 0.647
(0.532,0.215,-0.011) - 0.651
(0.537,0.252,-0.044) - 0.653
(0.152,0.205,-0.372) - 0.657
(0.502,0.160,-0.025) - 0.660
(0.248,0.310,-0.453) - 0.660
(0.501,0.198,-0.058) - 0.666
(-0.520,0.430,0.605) - 0.666
(-0.493,0.373,0.562) - 0.670
(0.502,0.238,-0.091) - 0.675
(0.487,0.126,0.012) - 0.675
(0.220,0.357,-0.443) - 0.681
(0.466,0.104,-0.040) - 0.681
(0.464,0.143,-0.074) - 0.685
(0.514,0.305,-0.072) - 0.692
(0.464,0.182,-0.108) - 0.693
(-0.561,0.474,0.594) - 0.697
(0.529,0.332,-0.023) - 0.698
(0.464,0.224,-0.143) - 0.704
(-0.434,0.369,0.532) - 0.706
(-0.536,0.418,0.539) - 0.707
(0.188,0.348,-0.388) - 0.711
(-0.583,0.547,0.649) - 0.712
(0.193,0.412,-0.431) - 0.712
(0.480,0.290,-0.122) - 0.713
(-0.455,0.335,0.492) - 0.717
(0.467,0.198,0.040) - 0.718
(0.423,0.125,-0.129) - 0.719
(0.422,0.167,-0.165) - 0.728
(0.487,0.308,0.021) - 0.733
(0.157,0.400,-0.383) - 0.733
(-0.420,0.281,0.449) - 0.740
(0.441,0.278,-0.178) - 0.744
(-0.504,0.374,0.468) - 0.746
(-0.391,0.324,0.471) - 0.747
(0.151,0.343,-0.326) - 0.751
(-0.393,0.110,0.395) - 0.753
