Simulation Results:
Method: GPU
Path check-points: 20
Rays per check-point: 1500
Total Hits: 5962
Total Rays: 30000
Hit Ratio: 19.8 %%
Total polygons: 20684
Time [seconds]: 0.278
Time [millisec]: 277
Time [microsec]: 277752

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(15.826,0.014,-7.767) - 0.369
(15.836,0.022,-7.796) - 0.369
(15.842,0.008,-7.814) - 0.370
(15.830,0.036,-7.778) - 0.370
(15.820,0.027,-7.749) - 0.371
(15.816,0.005,-7.738) - 0.371
(15.839,0.044,-7.807) - 0.372
(15.824,0.049,-7.761) - 0.372
(15.846,0.031,-7.825) - 0.372
(15.833,0.058,-7.789) - 0.373
(15.852,0.017,-7.843) - 0.374
(15.814,0.041,-7.731) - 0.375
(15.810,0.019,-7.720) - 0.375
(15.827,0.072,-7.771) - 0.376
(15.817,0.064,-7.743) - 0.376
(15.843,0.067,-7.818) - 0.376
(15.849,0.053,-7.836) - 0.377
(15.837,0.081,-7.800) - 0.378
(15.858,0.003,-7.862) - 0.378
(15.856,0.040,-7.855) - 0.378
(8.016,0.018,-4.374) - 0.379
(8.010,0.004,-4.356) - 0.379
(15.803,0.033,-7.702) - 0.380
(15.807,0.056,-7.713) - 0.380
(15.821,0.087,-7.754) - 0.380
(8.026,0.010,-4.404) - 0.380
(8.022,0.032,-4.392) - 0.380
(8.006,0.027,-4.344) - 0.380
(15.831,0.096,-7.782) - 0.381
(8.012,0.041,-4.363) - 0.381
(15.799,0.011,-7.690) - 0.381
(15.811,0.079,-7.724) - 0.382
(8.000,0.013,-4.326) - 0.382
(15.862,0.026,-7.874) - 0.382
(8.018,0.055,-4.381) - 0.382
(8.032,0.024,-4.422) - 0.383
(15.853,0.077,-7.848) - 0.383
(15.847,0.091,-7.829) - 0.383
(8.029,0.046,-4.411) - 0.383
(8.036,0.001,-4.434) - 0.384
(8.002,0.050,-4.333) - 0.384
(15.860,0.063,-7.866) - 0.384
(8.008,0.064,-4.351) - 0.384
(15.841,0.105,-7.811) - 0.384
(7.996,0.036,-4.314) - 0.385
(15.825,0.111,-7.765) - 0.385
(15.815,0.102,-7.736) - 0.385
(8.025,0.070,-4.399) - 0.386
(15.797,0.048,-7.682) - 0.386
(8.015,0.079,-4.370) - 0.386
(15.801,0.071,-7.694) - 0.386
(15.869,0.012,-7.893) - 0.387
(8.039,0.038,-4.441) - 0.387
(15.866,0.049,-7.885) - 0.387
(15.793,0.025,-7.670) - 0.388
(7.989,0.022,-4.295) - 0.388
(8.035,0.061,-4.429) - 0.388
(15.835,0.120,-7.793) - 0.388
(8.043,0.015,-4.453) - 0.388
(15.805,0.094,-7.706) - 0.389
(7.998,0.074,-4.321) - 0.389
(8.004,0.088,-4.340) - 0.390
(8.021,0.094,-4.388) - 0.390
(7.992,0.060,-4.303) - 0.390
(8.031,0.085,-4.418) - 0.391
(15.857,0.102,-7.859) - 0.391
(15.789,0.002,-7.658) - 0.391
(15.851,0.116,-7.841) - 0.391
(15.819,0.127,-7.747) - 0.392
(7.983,0.008,-4.276) - 0.392
(15.864,0.088,-7.878) - 0.392
