Simulation Results:
Method: GPU
Path check-points: 10
Rays per check-point: 10000
Total Hits: 19879
Total Rays: 100000
Hit Ratio: 19.8 %%
Total polygons: 20684
Time [seconds]: 0.691
Time [millisec]: 690
Time [microsec]: 690878

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.390,0.029,0.091) - 0.188
(0.374,0.039,0.080) - 0.189
(0.374,0.032,0.078) - 0.189
(0.389,0.034,0.089) - 0.189
(0.377,0.034,0.080) - 0.189
(0.392,0.037,0.091) - 0.191
(0.390,0.041,0.090) - 0.191
(0.376,0.046,0.080) - 0.191
(0.395,0.032,0.091) - 0.192
(0.378,0.042,0.080) - 0.192
(0.391,0.027,0.085) - 0.193
(0.381,0.038,0.080) - 0.193
(0.399,0.028,0.091) - 0.193
(0.381,0.031,0.078) - 0.193
(0.389,0.032,0.084) - 0.193
(0.374,0.037,0.074) - 0.193
(0.384,0.033,0.080) - 0.193
(0.397,0.040,0.091) - 0.194
(0.390,0.039,0.084) - 0.195
(0.375,0.044,0.075) - 0.195
(0.357,0.028,0.061) - 0.195
(0.383,0.046,0.080) - 0.195
(0.400,0.036,0.091) - 0.196
(0.355,0.032,0.060) - 0.196
(0.360,0.023,0.061) - 0.196
(0.386,0.041,0.080) - 0.196
(0.354,0.025,0.058) - 0.196
(0.388,0.037,0.080) - 0.197
(0.403,0.031,0.091) - 0.197
(0.358,0.035,0.061) - 0.197
(0.399,0.026,0.085) - 0.197
(0.356,0.040,0.060) - 0.197
(0.361,0.031,0.061) - 0.198
(0.389,0.029,0.078) - 0.198
(0.406,0.027,0.091) - 0.198
(0.364,0.026,0.061) - 0.198
(0.373,0.035,0.067) - 0.199
(0.367,0.022,0.061) - 0.199
(0.390,0.045,0.080) - 0.199
(0.357,0.048,0.061) - 0.199
(0.360,0.043,0.061) - 0.199
(0.363,0.039,0.061) - 0.200
(0.374,0.043,0.068) - 0.200
(0.365,0.034,0.061) - 0.200
(0.368,0.029,0.061) - 0.200
(0.373,0.020,0.062) - 0.201
(0.408,0.035,0.091) - 0.201
(0.371,0.025,0.061) - 0.201
(0.362,0.051,0.061) - 0.202
(0.364,0.047,0.061) - 0.202
(0.359,0.056,0.061) - 0.202
(0.151,0.061,0.056) - 0.202
(0.367,0.042,0.061) - 0.202
(0.412,0.031,0.091) - 0.202
(0.375,0.028,0.062) - 0.203
(0.149,0.066,0.056) - 0.203
(0.370,0.037,0.061) - 0.203
(0.389,0.027,0.071) - 0.203
(0.378,0.031,0.064) - 0.203
(0.377,0.023,0.062) - 0.203
(0.355,0.031,0.051) - 0.203
(0.373,0.033,0.061) - 0.203
(0.353,0.023,0.049) - 0.204
(0.356,0.038,0.053) - 0.204
(0.146,0.071,0.055) - 0.204
(0.381,0.019,0.062) - 0.205
(0.155,0.057,0.053) - 0.205
(0.149,0.059,0.051) - 0.205
(0.125,0.066,0.044) - 0.205
(0.374,0.041,0.062) - 0.205
(0.366,0.055,0.061) - 0.205
(0.155,0.065,0.056) - 0.205
(0.357,0.046,0.054) - 0.205
(0.369,0.050,0.061) - 0.205
(0.363,0.060,0.061) - 0.205
(0.372,0.046,0.061) - 0.205
(0.153,0.070,0.056) - 0.206
(0.361,0.021,0.050) - 0.206
