Simulation Results:
Method: GPU
Path check-points: 20
Rays per check-point: 100
Total Hits: 383
Total Rays: 2000
Hit Ratio: 19.1 %%
Total polygons: 20684
Time [seconds]: 0.046
Time [millisec]: 45
Time [microsec]: 45853

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(19.432,0.453,-6.512) - 1.105
(9.699,0.077,-9.328) - 1.105
(19.393,0.768,-2.469) - 1.114
(20.477,0.101,-5.625) - 1.119
(6.007,0.068,-6.626) - 1.129
(14.455,0.984,-3.759) - 1.131
(19.374,0.227,-6.346) - 1.134
(14.625,0.814,-4.254) - 1.147
(19.656,0.909,-3.241) - 1.151
(9.473,0.276,-4.457) - 1.152
(21.418,0.189,-7.332) - 1.182
(13.211,0.799,-3.337) - 1.192
(7.163,0.012,-8.401) - 1.216
(9.536,0.037,-4.635) - 1.224
(19.455,1.007,-2.651) - 1.228
(14.772,0.357,-4.684) - 1.233
(14.499,0.410,-7.262) - 1.242
(23.826,0.319,-7.270) - 1.275
(19.577,1.121,-3.010) - 1.289
(24.068,0.494,-7.162) - 1.301
(19.770,0.926,-3.574) - 1.305
(16.029,1.107,-8.362) - 1.318
(7.904,0.255,-9.027) - 1.340
(23.558,0.161,-7.390) - 1.340
(4.532,0.340,-1.824) - 1.359
(4.463,0.634,-2.004) - 1.378
(21.294,0.111,-7.812) - 1.393
(19.938,0.407,-4.064) - 1.403
(22.255,0.243,-7.873) - 1.430
(19.019,0.216,-7.030) - 1.442
(23.666,0.666,-7.342) - 1.447
(19.244,0.488,-5.977) - 1.478
(19.784,0.266,-8.050) - 1.480
(21.798,0.372,-8.069) - 1.489
(23.365,0.501,-7.476) - 1.519
(9.672,0.244,-5.020) - 1.528
(22.550,0.461,-7.761) - 1.537
(15.367,0.468,-6.417) - 1.560
(21.483,0.188,-8.206) - 1.569
(14.919,0.128,-5.112) - 1.598
(21.476,0.208,-2.062) - 1.601
(22.754,0.145,-7.619) - 1.612
(5.716,0.016,-5.771) - 1.621
(20.042,0.081,-8.321) - 1.629
(7.625,0.228,-8.205) - 1.631
(11.195,0.247,-0.984) - 1.644
(25.005,0.367,-6.690) - 1.668
(12.320,0.319,-8.871) - 1.679
(11.246,0.034,-1.344) - 1.689
(21.128,0.440,-2.112) - 1.692
(11.111,0.119,-0.409) - 1.696
(21.686,0.577,-2.031) - 1.697
(12.198,0.102,-8.526) - 1.706
(20.897,0.085,-2.146) - 1.708
(24.079,0.290,-6.646) - 1.708
(11.144,0.479,-0.635) - 1.710
(22.044,0.360,-1.979) - 1.712
(19.120,0.206,-5.625) - 1.719
(24.436,0.531,-6.575) - 1.769
(21.875,0.106,-5.742) - 1.770
(11.226,0.638,-1.203) - 1.773
(10.890,0.160,-7.715) - 1.780
(4.530,0.267,-2.610) - 1.783
(14.852,1.137,-4.917) - 1.805
(21.345,0.850,-2.081) - 1.808
(4.605,0.036,-2.992) - 1.810
(4.460,0.127,-1.989) - 1.818
(4.508,0.510,-2.231) - 1.820
(22.897,0.364,-7.628) - 1.822
(20.107,0.146,-4.553) - 1.822
(12.246,0.730,-8.661) - 1.825
