Simulation Results:
Method: GPU
Path check-points: 40
Rays per check-point: 1500
Total Hits: 13565
Total Rays: 60000
Hit Ratio: 22.6 %%
Total polygons: 20684
Time [seconds]: 0.507
Time [millisec]: 506
Time [microsec]: 506800

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(14.460,0.002,-3.772) - 0.050
(14.459,0.001,-3.770) - 0.050
(14.461,0.001,-3.776) - 0.050
(14.461,0.004,-3.775) - 0.050
(14.458,0.004,-3.769) - 0.050
(14.459,0.005,-3.771) - 0.050
(14.458,0.002,-3.766) - 0.050
(14.460,0.007,-3.773) - 0.050
(14.462,0.003,-3.779) - 0.050
(14.461,0.006,-3.777) - 0.050
(14.462,0.000,-3.780) - 0.050
(14.458,0.007,-3.767) - 0.050
(14.459,0.008,-3.769) - 0.050
(14.457,0.005,-3.765) - 0.051
(14.461,0.009,-3.776) - 0.051
(14.460,0.010,-3.772) - 0.051
(14.463,0.005,-3.781) - 0.051
(14.463,0.002,-3.783) - 0.051
(14.462,0.008,-3.780) - 0.051
(14.456,0.003,-3.762) - 0.051
(14.457,0.010,-3.766) - 0.051
(14.460,0.012,-3.774) - 0.051
(14.458,0.012,-3.768) - 0.051
(14.456,0.008,-3.763) - 0.051
(14.462,0.011,-3.778) - 0.051
(14.455,0.001,-3.760) - 0.051
(14.459,0.014,-3.770) - 0.052
(14.464,0.007,-3.784) - 0.052
(14.456,0.006,-3.761) - 0.052
(14.464,0.004,-3.785) - 0.052
(14.463,0.010,-3.782) - 0.052
(14.461,0.014,-3.777) - 0.052
(14.465,0.001,-3.787) - 0.052
(14.460,0.016,-3.773) - 0.052
(14.457,0.013,-3.764) - 0.052
(14.463,0.013,-3.781) - 0.052
(14.455,0.004,-3.758) - 0.052
(14.456,0.011,-3.762) - 0.052
(14.458,0.015,-3.766) - 0.052
(14.455,0.009,-3.759) - 0.052
(14.464,0.009,-3.786) - 0.053
(14.458,0.017,-3.769) - 0.053
(14.465,0.006,-3.788) - 0.053
(14.464,0.012,-3.785) - 0.053
(14.461,0.018,-3.775) - 0.053
(14.462,0.017,-3.779) - 0.053
(14.454,0.002,-3.755) - 0.053
(14.466,0.003,-3.790) - 0.053
(14.454,0.007,-3.756) - 0.053
(14.459,0.019,-3.771) - 0.053
(14.463,0.015,-3.783) - 0.053
(14.456,0.016,-3.762) - 0.053
(14.455,0.014,-3.760) - 0.053
(14.457,0.018,-3.765) - 0.054
(14.455,0.013,-3.757) - 0.054
(14.453,0.005,-3.754) - 0.054
(14.465,0.011,-3.789) - 0.054
(14.461,0.020,-3.778) - 0.054
(14.466,0.008,-3.791) - 0.054
(14.453,0.000,-3.753) - 0.054
(14.463,0.019,-3.782) - 0.054
(14.458,0.021,-3.767) - 0.054
(14.465,0.014,-3.787) - 0.054
(14.460,0.021,-3.774) - 0.054
(14.467,0.005,-3.792) - 0.054
(14.454,0.011,-3.755) - 0.054
(14.464,0.018,-3.786) - 0.055
(14.467,0.002,-3.794) - 0.055
(14.459,0.023,-3.770) - 0.055
(14.452,0.004,-3.751) - 0.055
(14.455,0.018,-3.758) - 0.055
(14.453,0.009,-3.752) - 0.055
(14.456,0.020,-3.761) - 0.055
(14.462,0.023,-3.780) - 0.055
(14.454,0.016,-3.756) - 0.055
(14.461,0.024,-3.776) - 0.055
(14.457,0.022,-3.763) - 0.055
(14.467,0.010,-3.793) - 0.055
(14.466,0.014,-3.792) - 0.055
(14.464,0.021,-3.784) - 0.055
(14.466,0.017,-3.790) - 0.056
(14.468,0.007,-3.795) - 0.056
(14.453,0.014,-3.753) - 0.056
(14.460,0.025,-3.772) - 0.056
(14.457,0.025,-3.766) - 0.056
(14.452,0.007,-3.749) - 0.056
(14.451,0.002,-3.748) - 0.056
(14.468,0.004,-3.797) - 0.056
(14.465,0.020,-3.788) - 0.056
(14.452,0.012,-3.750) - 0.056
(14.462,0.027,-3.779) - 0.057
(14.458,0.027,-3.768) - 0.057
(14.463,0.025,-3.783) - 0.057
(14.454,0.022,-3.757) - 0.057
(14.455,0.024,-3.759) - 0.057
(14.453,0.020,-3.754) - 0.057
(14.469,0.000,-3.799) - 0.057
(14.460,0.028,-3.775) - 0.057
(14.468,0.013,-3.796) - 0.057
(14.467,0.016,-3.795) - 0.057
(14.465,0.024,-3.787) - 0.057
(14.451,0.005,-3.746) - 0.057
(14.456,0.027,-3.762) - 0.057
(14.451,0.011,-3.747) - 0.057
(14.469,0.009,-3.798) - 0.057
(14.452,0.018,-3.751) - 0.057
(14.467,0.020,-3.793) - 0.058
(14.459,0.030,-3.771) - 0.058
(14.469,0.006,-3.800) - 0.058
(14.457,0.029,-3.764) - 0.058
(14.451,0.016,-3.748) - 0.058
(14.466,0.023,-3.791) - 0.058
(14.463,0.030,-3.781) - 0.058
(14.464,0.028,-3.785) - 0.059
(14.461,0.031,-3.777) - 0.059
(14.450,0.009,-3.744) - 0.059
(14.470,0.003,-3.802) - 0.059
(14.449,0.003,-3.743) - 0.059
(14.450,0.014,-3.745) - 0.059
(14.458,0.032,-3.767) - 0.059
(14.454,0.027,-3.755) - 0.059
(14.469,0.015,-3.799) - 0.059
(14.453,0.024,-3.752) - 0.059
(14.468,0.019,-3.798) - 0.059
(14.465,0.027,-3.789) - 0.059
(14.460,0.033,-3.773) - 0.059
(14.455,0.029,-3.758) - 0.060
(14.470,0.012,-3.802) - 0.060
(14.452,0.022,-3.749) - 0.060
(14.468,0.023,-3.796) - 0.060
(14.456,0.031,-3.760) - 0.060
(14.470,0.008,-3.804) - 0.060
