Simulation Results:
Method: GPU
Path check-points: 1
Rays per check-point: 1000
Total Hits: 402
Total Rays: 1000
Hit Ratio: 40.2 %%
Total polygons: 902
Time [seconds]: 0.002
Time [millisec]: 2
Time [microsec]: 2118

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.369,0.001,-0.059) - 0.044
(0.368,0.002,-0.055) - 0.044
(0.368,0.001,-0.049) - 0.044
(0.368,0.004,-0.052) - 0.045
(0.369,0.003,-0.061) - 0.045
(0.368,0.005,-0.058) - 0.045
(0.368,0.006,-0.054) - 0.045
(0.367,0.003,-0.046) - 0.045
(0.369,0.002,-0.065) - 0.045
(0.368,0.007,-0.060) - 0.045
(0.367,0.005,-0.048) - 0.045
(0.367,0.000,-0.043) - 0.046
(0.368,0.006,-0.064) - 0.046
(0.367,0.009,-0.056) - 0.046
(0.367,0.008,-0.050) - 0.046
(0.367,0.011,-0.053) - 0.046
(0.368,0.010,-0.062) - 0.047
(0.369,0.004,-0.068) - 0.047
(0.369,0.000,-0.069) - 0.047
(0.366,0.007,-0.044) - 0.047
(0.366,0.005,-0.042) - 0.047
(0.367,0.012,-0.059) - 0.047
(0.368,0.009,-0.066) - 0.047
(0.366,0.010,-0.047) - 0.047
(0.367,0.002,-0.039) - 0.047
(0.367,0.013,-0.055) - 0.047
(0.366,0.013,-0.049) - 0.048
(0.369,0.003,-0.072) - 0.048
(0.368,0.013,-0.065) - 0.048
(0.368,0.007,-0.070) - 0.048
(0.367,0.015,-0.061) - 0.048
(0.366,0.015,-0.051) - 0.049
(0.366,0.009,-0.040) - 0.049
(0.366,0.006,-0.038) - 0.049
(0.368,0.012,-0.069) - 0.049
(0.366,0.012,-0.043) - 0.049
(0.366,0.017,-0.057) - 0.049
(0.366,0.004,-0.035) - 0.049
(0.365,0.015,-0.045) - 0.049
(0.368,0.006,-0.075) - 0.050
(0.366,0.019,-0.054) - 0.050
(0.366,0.001,-0.032) - 0.050
(0.369,0.001,-0.076) - 0.050
(0.368,0.016,-0.067) - 0.050
(0.368,0.010,-0.073) - 0.050
(0.367,0.018,-0.064) - 0.050
(0.365,0.018,-0.047) - 0.050
(0.366,0.020,-0.060) - 0.051
(0.368,0.015,-0.072) - 0.051
(0.365,0.011,-0.036) - 0.051
(0.365,0.014,-0.038) - 0.051
(0.365,0.008,-0.033) - 0.051
(0.365,0.017,-0.041) - 0.051
(0.365,0.021,-0.050) - 0.051
(0.366,0.022,-0.056) - 0.052
(0.365,0.006,-0.030) - 0.052
(0.368,0.009,-0.078) - 0.052
(0.369,0.004,-0.080) - 0.052
(0.365,0.020,-0.043) - 0.052
(0.367,0.020,-0.070) - 0.052
(0.367,0.022,-0.066) - 0.052
(0.368,0.014,-0.076) - 0.052
(0.365,0.003,-0.027) - 0.053
(0.366,0.024,-0.062) - 0.053
(0.365,0.025,-0.052) - 0.053
(0.364,0.024,-0.046) - 0.054
(0.367,0.019,-0.075) - 0.054
(0.364,0.017,-0.034) - 0.054
(0.364,0.014,-0.031) - 0.054
(0.365,0.026,-0.058) - 0.054
(0.365,0.000,-0.024) - 0.054
(0.364,0.020,-0.036) - 0.054
(0.364,0.011,-0.028) - 0.054
(0.368,0.007,-0.083) - 0.054
(0.368,0.012,-0.081) - 0.055
(0.369,0.003,-0.085) - 0.055
(0.364,0.023,-0.039) - 0.055
(0.364,0.008,-0.025) - 0.055
(0.366,0.026,-0.069) - 0.055
(0.368,0.017,-0.079) - 0.055
(0.364,0.027,-0.048) - 0.055
(0.367,0.024,-0.073) - 0.055
(0.365,0.029,-0.055) - 0.056
(0.366,0.028,-0.065) - 0.056
(0.363,0.027,-0.041) - 0.056
(0.364,0.005,-0.022) - 0.057
(0.367,0.023,-0.078) - 0.057
(0.365,0.031,-0.061) - 0.057
(0.368,0.011,-0.087) - 0.057
(0.363,0.020,-0.029) - 0.058
(0.368,0.006,-0.089) - 0.058
(0.363,0.017,-0.025) - 0.058
(0.363,0.023,-0.031) - 0.058
(0.368,0.016,-0.085) - 0.058
(0.364,0.032,-0.051) - 0.058
(0.364,0.002,-0.018) - 0.058
(0.363,0.031,-0.044) - 0.058
(0.369,0.001,-0.091) - 0.059
(0.363,0.014,-0.022) - 0.059
(0.363,0.027,-0.034) - 0.059
(0.364,0.034,-0.057) - 0.059
(0.367,0.022,-0.083) - 0.059
(0.366,0.031,-0.072) - 0.059
(0.367,0.029,-0.076) - 0.059
(0.363,0.011,-0.019) - 0.060
(0.365,0.033,-0.068) - 0.060
(0.362,0.031,-0.037) - 0.060
(0.367,0.028,-0.081) - 0.061
(0.364,0.036,-0.064) - 0.061
(0.363,0.036,-0.047) - 0.061
(0.368,0.015,-0.091) - 0.061
(0.368,0.010,-0.093) - 0.061
(0.363,0.008,-0.015) - 0.061
(0.363,0.037,-0.053) - 0.061
(0.367,0.021,-0.089) - 0.062
(0.368,0.004,-0.095) - 0.062
(0.362,0.035,-0.040) - 0.062
(0.362,0.024,-0.023) - 0.062
(0.362,0.027,-0.026) - 0.063
(0.362,0.020,-0.019) - 0.063
(0.364,0.040,-0.060) - 0.063
(0.362,0.031,-0.029) - 0.063
(0.367,0.027,-0.087) - 0.063
(0.363,0.004,-0.011) - 0.063
(0.362,0.017,-0.016) - 0.064
(0.365,0.037,-0.075) - 0.064
(0.366,0.035,-0.080) - 0.064
(0.365,0.040,-0.071) - 0.065
(0.361,0.035,-0.032) - 0.065
(0.362,0.042,-0.049) - 0.065
(0.362,0.040,-0.042) - 0.065
(0.362,0.014,-0.012) - 0.065
(0.368,0.014,-0.098) - 0.066
(0.367,0.020,-0.096) - 0.066
(0.366,0.034,-0.085) - 0.066
(0.363,0.044,-0.056) - 0.066
(0.363,0.001,-0.007) - 0.066
(0.364,0.043,-0.066) - 0.066
(0.368,0.008,-0.100) - 0.066
(0.367,0.026,-0.093) - 0.067
(0.361,0.040,-0.035) - 0.067
(0.362,0.011,-0.007) - 0.068
(0.369,0.002,-0.103) - 0.068
(0.360,0.032,-0.020) - 0.069
(0.361,0.028,-0.016) - 0.069
(0.363,0.047,-0.062) - 0.069
(0.366,0.033,-0.091) - 0.069
(0.360,0.036,-0.023) - 0.069
(0.361,0.025,-0.012) - 0.069
(0.361,0.047,-0.045) - 0.070
(0.365,0.045,-0.078) - 0.070
(0.361,0.049,-0.052) - 0.070
(0.362,0.007,-0.002) - 0.070
(0.366,0.042,-0.083) - 0.070
(0.360,0.046,-0.037) - 0.071
(0.361,0.021,-0.008) - 0.071
(0.360,0.041,-0.026) - 0.071
(0.367,0.019,-0.103) - 0.071
(0.364,0.048,-0.074) - 0.071
(0.367,0.025,-0.101) - 0.072
(0.368,0.013,-0.106) - 0.072
(0.366,0.041,-0.089) - 0.073
(0.362,0.052,-0.058) - 0.073
(0.368,0.006,-0.109) - 0.073
(0.361,0.018,-0.003) - 0.073
(0.366,0.032,-0.098) - 0.073
(0.363,0.052,-0.070) - 0.074
(0.359,0.047,-0.029) - 0.074
(0.362,0.004,0.003) - 0.074
(0.361,0.015,0.002) - 0.076
(0.366,0.041,-0.096) - 0.076
(0.360,0.054,-0.040) - 0.076
(0.360,0.055,-0.047) - 0.076
(0.359,0.038,-0.012) - 0.076
(0.359,0.034,-0.008) - 0.077
(0.359,0.043,-0.016) - 0.077
(0.362,0.057,-0.065) - 0.077
(0.359,0.030,-0.003) - 0.078
(0.359,0.054,-0.032) - 0.078
(0.367,0.025,-0.110) - 0.078
(0.360,0.059,-0.054) - 0.078
(0.367,0.018,-0.113) - 0.078
(0.365,0.052,-0.087) - 0.079
(0.366,0.032,-0.107) - 0.079
(0.358,0.048,-0.020) - 0.079
(0.364,0.054,-0.082) - 0.079
(0.368,0.011,-0.117) - 0.080
(0.360,0.011,0.008) - 0.080
(0.359,0.027,0.002) - 0.080
(0.363,0.058,-0.077) - 0.081
(0.366,0.040,-0.104) - 0.081
(0.365,0.050,-0.094) - 0.081
(0.368,0.004,-0.120) - 0.082
(0.358,0.055,-0.023) - 0.082
(0.360,0.064,-0.061) - 0.082
(0.359,0.023,0.008) - 0.083
(0.362,0.064,-0.073) - 0.084
(0.358,0.064,-0.043) - 0.084
(0.358,0.063,-0.035) - 0.085
(0.360,0.007,0.015) - 0.085
(0.365,0.050,-0.102) - 0.085
(0.359,0.067,-0.050) - 0.086
(0.366,0.033,-0.117) - 0.087
(0.367,0.025,-0.121) - 0.087
(0.357,0.046,-0.003) - 0.087
