Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 1486
Total Rays: 8000
Hit Ratio: 18.5 %%
Total polygons: 902
Time [seconds]: 0.218
Time [millisec]: 217
Time [microsec]: 217501

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.306,0.132,-0.203) - 0.372
(-0.328,0.248,-0.425) - 0.373
(0.380,0.163,-0.282) - 0.373
(0.311,0.278,-0.497) - 0.374
(-0.249,0.133,-0.466) - 0.375
(-0.281,0.184,-0.575) - 0.375
(0.372,0.288,-0.411) - 0.375
(-0.267,0.183,0.428) - 0.375
(0.292,0.266,-0.514) - 0.375
(0.200,0.133,-0.540) - 0.376
(-0.259,0.185,0.245) - 0.377
(0.361,0.132,-0.273) - 0.377
(-0.348,0.272,-0.416) - 0.378
(-0.271,0.166,-0.595) - 0.379
(0.329,0.294,-0.482) - 0.379
(-0.266,0.215,0.306) - 0.379
(-0.224,0.135,0.355) - 0.380
(0.225,0.132,-0.111) - 0.381
(-0.265,0.208,0.263) - 0.381
(-0.314,0.134,-0.279) - 0.381
(0.272,0.257,-0.534) - 0.381
(-0.226,0.141,0.279) - 0.381
(-0.250,0.133,-0.589) - 0.383
(-0.268,0.226,0.348) - 0.384
(-0.370,0.297,-0.410) - 0.384
(-0.263,0.147,-0.616) - 0.384
(0.360,0.132,-0.259) - 0.385
(-0.314,0.261,-0.484) - 0.385
(0.380,0.318,-0.433) - 0.386
(-0.295,0.241,-0.498) - 0.387
(0.333,0.263,-0.388) - 0.387
(0.286,0.233,-0.122) - 0.387
(0.189,0.131,-0.618) - 0.388
(0.221,0.134,-0.416) - 0.388
(0.253,0.248,-0.556) - 0.388
(0.346,0.315,-0.469) - 0.389
(-0.377,0.315,-0.433) - 0.390
(-0.333,0.286,-0.471) - 0.390
(0.250,0.204,0.213) - 0.390
(0.248,0.182,0.234) - 0.390
(-0.275,0.238,0.388) - 0.390
(-0.269,0.235,0.280) - 0.390
(0.254,0.226,0.192) - 0.391
(-0.247,0.134,-0.386) - 0.391
(0.248,0.161,0.256) - 0.391
(0.378,0.155,-0.266) - 0.392
(-0.271,0.244,0.322) - 0.392
(-0.261,0.207,0.217) - 0.393
(0.261,0.249,0.172) - 0.393
(0.250,0.141,0.277) - 0.394
(-0.224,0.135,0.435) - 0.394
(-0.358,0.133,-0.212) - 0.395
(-0.364,0.204,-0.252) - 0.395
(0.288,0.133,-0.307) - 0.395
(-0.267,0.231,0.237) - 0.397
(-0.331,0.272,-0.385) - 0.397
(0.254,0.133,-0.186) - 0.397
(-0.223,0.133,-0.514) - 0.398
(0.373,0.194,-0.252) - 0.399
(0.264,0.222,0.236) - 0.400
(-0.274,0.258,0.363) - 0.400
(0.262,0.201,0.259) - 0.401
(0.268,0.276,0.153) - 0.401
(-0.268,0.189,-0.627) - 0.402
(-0.354,0.298,-0.380) - 0.402
(0.267,0.246,0.215) - 0.402
(0.192,0.131,-0.700) - 0.403
(-0.352,0.318,-0.460) - 0.403
(-0.198,0.135,0.307) - 0.404
(0.179,0.134,-0.487) - 0.404
(0.377,0.155,-0.240) - 0.405
(0.349,0.289,-0.371) - 0.405
(-0.327,0.251,-0.327) - 0.406
(-0.214,0.164,0.246) - 0.406
(-0.264,0.134,-0.306) - 0.406
(0.364,0.344,-0.458) - 0.407
(0.259,0.182,0.284) - 0.408
(-0.242,0.133,-0.645) - 0.408
(0.291,0.311,-0.528) - 0.408
(0.272,0.297,-0.548) - 0.408
(0.257,0.284,-0.571) - 0.409
(0.271,0.273,0.195) - 0.410
(0.311,0.327,-0.511) - 0.410
(0.244,0.271,-0.597) - 0.410
(0.302,0.132,-0.255) - 0.412
(0.212,0.202,0.200) - 0.413
(-0.263,0.231,0.188) - 0.413
(-0.367,0.162,-0.193) - 0.413
(0.221,0.134,-0.359) - 0.414
(0.217,0.225,0.178) - 0.414
(0.157,0.132,-0.569) - 0.415
(0.225,0.249,0.157) - 0.416
(-0.209,0.134,-0.429) - 0.416
(0.380,0.334,-0.390) - 0.416
(0.207,0.180,0.223) - 0.416
(-0.253,0.173,-0.653) - 0.417
(-0.269,0.257,0.209) - 0.417
(0.236,0.273,0.136) - 0.418
(0.256,0.164,0.312) - 0.419
(0.273,0.311,0.135) - 0.419
(0.330,0.348,-0.496) - 0.419
(-0.186,0.135,0.392) - 0.420
(0.310,0.132,-0.253) - 0.420
(-0.314,0.274,-0.350) - 0.420
(-0.302,0.300,-0.508) - 0.421
(0.251,0.298,0.117) - 0.422
(-0.382,0.350,-0.402) - 0.422
(-0.301,0.134,-0.227) - 0.422
(-0.280,0.278,-0.525) - 0.423
(0.261,0.142,0.336) - 0.423
(0.201,0.133,-0.161) - 0.424
(-0.201,0.133,-0.568) - 0.425
(0.270,0.325,0.098) - 0.425
(-0.211,0.186,0.213) - 0.426
(0.273,0.307,0.177) - 0.426
(0.368,0.131,-0.314) - 0.427
(-0.323,0.328,-0.493) - 0.428
(-0.371,0.362,-0.451) - 0.430
(0.268,0.230,0.292) - 0.430
(0.196,0.163,0.252) - 0.431
(0.149,0.131,-0.657) - 0.431
(-0.257,0.260,-0.545) - 0.431
(-0.253,0.274,0.250) - 0.431
(0.164,0.134,-0.427) - 0.434
(0.389,0.372,-0.417) - 0.434
(-0.214,0.134,-0.340) - 0.435
(0.249,0.312,-0.612) - 0.436
(-0.192,0.135,0.481) - 0.438
(0.349,0.379,-0.483) - 0.438
(0.238,0.299,-0.640) - 0.438
(-0.267,0.294,0.226) - 0.439
(0.278,0.344,-0.563) - 0.439
(0.261,0.329,-0.586) - 0.439
(0.213,0.275,-0.628) - 0.439
(-0.265,0.261,0.157) - 0.440
(0.264,0.211,0.322) - 0.440
(0.221,0.255,-0.108) - 0.440
(0.327,0.266,-0.299) - 0.441
(0.221,0.133,0.326) - 0.441
(0.230,0.133,-0.298) - 0.442
(0.240,0.133,-0.244) - 0.444
(0.297,0.363,-0.542) - 0.444
(-0.272,0.288,0.180) - 0.444
(0.175,0.226,0.161) - 0.444
(-0.174,0.134,-0.481) - 0.444
(0.185,0.251,0.138) - 0.445
(-0.344,0.366,-0.480) - 0.446
(0.187,0.144,0.282) - 0.446
(0.197,0.276,0.117) - 0.447
(0.377,0.393,-0.445) - 0.448
(0.340,0.132,-0.198) - 0.448
(0.262,0.289,0.251) - 0.448
(0.126,0.133,-0.511) - 0.449
(0.213,0.303,0.097) - 0.449
(0.264,0.191,0.350) - 0.449
(-0.149,0.135,0.340) - 0.449
(-0.349,0.137,-0.147) - 0.450
(0.381,0.164,-0.335) - 0.451
(0.234,0.329,0.078) - 0.452
(0.277,0.360,0.120) - 0.452
(0.276,0.351,0.159) - 0.453
(-0.241,0.134,-0.251) - 0.453
(0.260,0.356,0.062) - 0.454
(0.268,0.318,0.227) - 0.454
(-0.184,0.133,-0.631) - 0.455
(0.269,0.168,0.377) - 0.455
(-0.346,0.219,-0.186) - 0.455
(-0.355,0.363,-0.365) - 0.455
(0.316,0.389,-0.525) - 0.456
(-0.380,0.395,-0.421) - 0.457
(-0.317,0.325,-0.333) - 0.459
(-0.269,0.318,-0.553) - 0.461
(0.278,0.377,0.083) - 0.461
(0.301,0.132,-0.317) - 0.462
(-0.274,0.325,0.200) - 0.462
(0.153,0.210,0.189) - 0.462
(0.108,0.131,-0.605) - 0.463
(-0.248,0.295,-0.576) - 0.464
(-0.290,0.347,-0.534) - 0.465
(-0.196,0.219,0.173) - 0.465
(0.157,0.135,-0.361) - 0.465
(0.275,0.147,0.405) - 0.466
(-0.231,0.271,-0.599) - 0.467
(-0.163,0.135,-0.384) - 0.468
(-0.142,0.135,0.437) - 0.470
(-0.270,0.295,0.125) - 0.470
(-0.288,0.134,-0.165) - 0.473
(0.255,0.365,-0.627) - 0.473
(0.243,0.349,-0.656) - 0.473
(0.247,0.133,-0.233) - 0.473
(0.206,0.307,-0.678) - 0.474
(0.237,0.133,0.392) - 0.474
(0.362,0.156,-0.163) - 0.476
(-0.313,0.381,-0.516) - 0.476
(-0.142,0.133,-0.541) - 0.476
(0.203,0.143,0.499) - 0.477
(0.269,0.360,0.207) - 0.477
(0.175,0.133,-0.222) - 0.478
(-0.275,0.327,0.150) - 0.479
(0.268,0.385,-0.600) - 0.479
(0.177,0.284,-0.666) - 0.479
(0.337,0.425,-0.510) - 0.479
(0.230,0.338,-0.689) - 0.480
(0.270,0.247,0.363) - 0.480
(0.365,0.432,-0.471) - 0.481
(0.133,0.192,0.220) - 0.481
(0.289,0.404,-0.576) - 0.481
(0.248,0.155,0.457) - 0.482
(0.152,0.283,0.092) - 0.483
(0.169,0.310,0.072) - 0.485
(0.273,0.224,0.393) - 0.488
(0.190,0.340,0.053) - 0.489
(-0.178,0.134,-0.284) - 0.489
(-0.172,0.133,-0.700) - 0.490
(-0.328,0.136,-0.077) - 0.491
(0.217,0.369,0.036) - 0.492
(0.251,0.396,0.023) - 0.492
(0.270,0.141,0.422) - 0.493
(0.128,0.262,0.116) - 0.493
(0.310,0.431,-0.556) - 0.494
(0.281,0.412,0.142) - 0.496
(0.152,0.133,0.333) - 0.498
(-0.185,0.180,-0.711) - 0.499
(-0.229,0.307,-0.634) - 0.499
(-0.244,0.334,-0.608) - 0.499
(-0.264,0.362,-0.583) - 0.499
(0.160,0.134,-0.290) - 0.500
(-0.359,0.439,-0.469) - 0.500
(-0.339,0.428,-0.501) - 0.500
(-0.277,0.369,0.171) - 0.500
(0.269,0.420,0.047) - 0.501
(0.116,0.172,0.253) - 0.501
(0.213,0.133,0.452) - 0.501
(0.211,0.178,0.473) - 0.501
(0.226,0.134,-0.314) - 0.502
(-0.200,0.330,0.290) - 0.502
(-0.388,0.445,-0.391) - 0.503
(0.261,0.189,0.435) - 0.503
(-0.288,0.393,-0.560) - 0.504
(0.282,0.431,0.105) - 0.506
(-0.113,0.135,-0.438) - 0.506
(-0.093,0.135,0.382) - 0.506
(-0.304,0.169,-0.069) - 0.508
(-0.369,0.433,-0.357) - 0.509
(0.274,0.132,-0.164) - 0.509
(-0.275,0.337,0.091) - 0.509
(-0.183,0.257,0.129) - 0.509
(-0.321,0.388,-0.316) - 0.510
(0.112,0.132,-0.187) - 0.510
(-0.215,0.134,-0.184) - 0.511
(-0.213,0.354,0.261) - 0.512
(0.375,0.428,-0.351) - 0.512
(0.205,0.343,-0.731) - 0.513
(0.291,0.338,-0.285) - 0.513
(-0.184,0.270,-0.636) - 0.513
(-0.265,0.153,-0.054) - 0.514
(-0.113,0.133,-0.610) - 0.515
(0.360,0.477,-0.499) - 0.519
(0.334,0.471,-0.539) - 0.520
(-0.314,0.435,-0.540) - 0.521
(0.249,0.413,-0.671) - 0.522
(0.101,0.151,0.288) - 0.522
(0.325,0.390,-0.307) - 0.523
(0.302,0.132,-0.392) - 0.523
(0.264,0.432,-0.640) - 0.523
(-0.278,0.375,0.117) - 0.523
(0.167,0.322,-0.726) - 0.524
(-0.224,0.139,-0.038) - 0.525
(0.235,0.399,-0.706) - 0.526
(0.123,0.319,0.039) - 0.526
(-0.226,0.382,0.233) - 0.527
(0.392,0.470,-0.392) - 0.528
(-0.349,0.164,-0.122) - 0.528
(0.265,0.428,0.191) - 0.528
(0.284,0.455,-0.613) - 0.529
(-0.114,0.134,-0.328) - 0.529
(-0.371,0.476,-0.439) - 0.531
(0.144,0.351,0.019) - 0.531
(-0.226,0.159,0.476) - 0.532
(0.218,0.218,0.444) - 0.532
(-0.274,0.359,-0.270) - 0.533
(0.318,0.307,-0.322) - 0.534
(-0.191,0.299,-0.672) - 0.534
(-0.328,0.196,-0.107) - 0.535
(-0.275,0.133,-0.089) - 0.536
(0.171,0.384,0.003) - 0.536
(0.294,0.327,-0.293) - 0.537
(-0.228,0.349,-0.670) - 0.537
(-0.244,0.379,-0.641) - 0.538
(0.271,0.232,0.406) - 0.538
(0.383,0.491,-0.427) - 0.539
(0.171,0.133,-0.212) - 0.539
(-0.237,0.190,-0.048) - 0.539
(-0.221,0.402,0.281) - 0.540
(0.161,0.133,0.412) - 0.540
(0.342,0.292,-0.355) - 0.540
(0.204,0.416,-0.011) - 0.540
(0.274,0.348,-0.263) - 0.541
(0.221,0.391,-0.745) - 0.541
(0.260,0.366,-0.228) - 0.541
(0.309,0.484,-0.588) - 0.541
(0.226,0.338,-0.232) - 0.544
(0.134,0.133,0.468) - 0.544
(-0.262,0.414,-0.614) - 0.546
(0.146,0.134,-0.299) - 0.546
(-0.254,0.182,0.444) - 0.547
(-0.271,0.152,0.421) - 0.547
(-0.241,0.416,0.206) - 0.548
(-0.342,0.448,-0.310) - 0.548
(0.275,0.479,0.070) - 0.549
(-0.259,0.134,-0.104) - 0.550
(-0.280,0.425,0.140) - 0.550
(0.311,0.132,-0.092) - 0.551
(0.268,0.188,0.370) - 0.551
(-0.177,0.146,0.487) - 0.552
(-0.290,0.449,-0.587) - 0.552
(-0.138,0.134,-0.214) - 0.555
(-0.203,0.330,-0.707) - 0.556
(-0.227,0.135,0.434) - 0.557
(-0.176,0.300,0.082) - 0.557
(-0.345,0.496,-0.522) - 0.557
(-0.368,0.508,-0.489) - 0.558
(-0.236,0.435,0.253) - 0.558
(0.382,0.521,-0.461) - 0.558
(-0.356,0.143,-0.168) - 0.558
(-0.393,0.513,-0.414) - 0.559
(-0.401,0.508,-0.363) - 0.561
(0.285,0.412,-0.231) - 0.563
(0.315,0.374,-0.301) - 0.563
(0.297,0.393,-0.267) - 0.563
(0.337,0.355,-0.333) - 0.563
(0.335,0.255,-0.405) - 0.564
(-0.292,0.410,-0.259) - 0.564
(0.230,0.262,0.418) - 0.564
(0.364,0.287,-0.401) - 0.565
(0.289,0.502,0.125) - 0.567
(0.275,0.435,-0.197) - 0.568
(0.280,0.491,0.167) - 0.568
(0.230,0.470,-0.022) - 0.569
(0.067,0.133,0.338) - 0.570
(0.362,0.340,-0.368) - 0.570
(0.362,0.537,-0.527) - 0.571
(0.393,0.497,-0.337) - 0.572
(-0.259,0.465,0.230) - 0.572
(0.235,0.407,-0.207) - 0.572
(-0.236,0.458,0.300) - 0.572
(0.101,0.360,-0.021) - 0.574
(0.250,0.453,0.251) - 0.574
(0.197,0.435,-0.094) - 0.574
(-0.321,0.499,-0.563) - 0.575
(0.200,0.133,0.366) - 0.575
(0.336,0.534,-0.569) - 0.575
(-0.257,0.457,0.181) - 0.576
(0.208,0.456,-0.058) - 0.576
(0.212,0.134,-0.401) - 0.577
(0.157,0.406,-0.088) - 0.577
(0.277,0.487,0.214) - 0.577
(-0.172,0.411,0.308) - 0.578
(0.129,0.394,-0.038) - 0.578
(0.165,0.426,-0.051) - 0.578
(-0.263,0.484,0.276) - 0.579
(0.254,0.491,-0.059) - 0.580
(0.249,0.499,0.007) - 0.580
(-0.250,0.225,-0.099) - 0.580
(-0.221,0.225,0.444) - 0.581
(0.263,0.492,-0.683) - 0.581
(-0.205,0.446,0.329) - 0.581
(0.226,0.427,0.291) - 0.582
(-0.281,0.437,0.080) - 0.582
(-0.389,0.542,-0.461) - 0.582
(0.390,0.327,-0.404) - 0.583
(0.245,0.475,-0.720) - 0.584
(-0.268,0.406,0.042) - 0.584
(-0.375,0.509,-0.316) - 0.584
(0.117,0.379,-0.079) - 0.585
(-0.276,0.214,0.397) - 0.585
(0.192,0.132,-0.128) - 0.585
(0.190,0.384,-0.215) - 0.585
(-0.187,0.133,-0.100) - 0.585
