Simulation Results:
Method: CPU
Path check-points: 40
Rays per check-point: 1500
Total Hits: 13182
Total Rays: 60000
Hit Ratio: 21.9 %%
Total polygons: 20684
Time [seconds]: 27.048
Time [millisec]: 27048
Time [microsec]: 27048052

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(14.390,0.001,-3.790) - 0.121
(14.392,0.006,-3.796) - 0.121
(14.395,0.003,-3.805) - 0.122
(14.389,0.009,-3.786) - 0.122
(14.394,0.010,-3.802) - 0.122
(14.391,0.013,-3.792) - 0.122
(14.387,0.004,-3.780) - 0.122
(14.393,0.018,-3.798) - 0.123
(14.397,0.008,-3.811) - 0.123
(14.396,0.015,-3.807) - 0.123
(14.388,0.016,-3.782) - 0.123
(14.398,0.000,-3.815) - 0.123
(14.390,0.021,-3.788) - 0.123
(14.386,0.012,-3.776) - 0.123
(14.395,0.022,-3.804) - 0.124
(14.391,0.025,-3.794) - 0.124
(14.384,0.007,-3.770) - 0.124
(14.399,0.012,-3.817) - 0.124
(14.398,0.020,-3.813) - 0.124
(14.400,0.005,-3.821) - 0.124
(14.386,0.024,-3.779) - 0.125
(14.384,0.019,-3.773) - 0.125
(14.388,0.028,-3.785) - 0.125
(14.393,0.030,-3.800) - 0.125
(14.397,0.027,-3.810) - 0.125
(14.381,0.003,-3.764) - 0.125
(14.382,0.015,-3.767) - 0.126
(14.390,0.033,-3.791) - 0.126
(14.401,0.017,-3.823) - 0.126
(14.403,0.010,-3.827) - 0.126
(14.400,0.025,-3.819) - 0.126
(14.395,0.035,-3.806) - 0.127
(14.380,0.010,-3.760) - 0.127
(14.385,0.032,-3.775) - 0.127
(14.392,0.038,-3.796) - 0.127
(14.383,0.027,-3.769) - 0.127
(14.404,0.002,-3.831) - 0.127
(14.387,0.036,-3.781) - 0.127
(14.399,0.032,-3.816) - 0.127
(14.381,0.022,-3.763) - 0.128
(14.389,0.041,-3.787) - 0.128
(14.403,0.022,-3.830) - 0.129
(14.378,0.005,-3.754) - 0.129
(14.405,0.015,-3.834) - 0.129
(14.394,0.043,-3.802) - 0.129
(14.379,0.018,-3.756) - 0.129
(14.402,0.030,-3.826) - 0.129
(14.397,0.040,-3.812) - 0.129
(14.406,0.007,-3.838) - 0.130
(14.391,0.047,-3.793) - 0.130
(14.384,0.040,-3.771) - 0.130
(14.382,0.035,-3.765) - 0.130
(14.401,0.038,-3.822) - 0.130
(14.386,0.045,-3.777) - 0.131
(14.380,0.031,-3.759) - 0.131
(14.377,0.013,-3.750) - 0.131
(14.376,0.001,-3.747) - 0.131
(14.396,0.049,-3.808) - 0.132
(14.388,0.050,-3.783) - 0.132
(14.405,0.028,-3.836) - 0.132
(14.377,0.026,-3.752) - 0.132
(14.407,0.020,-3.840) - 0.132
(14.393,0.052,-3.799) - 0.132
(14.399,0.046,-3.818) - 0.132
(14.404,0.035,-3.832) - 0.132
(14.408,0.012,-3.845) - 0.133
(14.374,0.009,-3.743) - 0.133
(14.390,0.056,-3.789) - 0.134
(14.403,0.044,-3.828) - 0.134
(14.375,0.022,-3.745) - 0.134
(14.380,0.044,-3.761) - 0.134
(14.383,0.049,-3.767) - 0.134
(14.410,0.004,-3.849) - 0.134
(14.378,0.039,-3.755) - 0.134
(14.385,0.054,-3.774) - 0.135
(14.398,0.055,-3.814) - 0.135
(14.395,0.058,-3.805) - 0.135
(14.376,0.035,-3.748) - 0.135
(14.408,0.033,-3.843) - 0.136
(14.409,0.025,-3.847) - 0.136
(14.402,0.052,-3.824) - 0.136
(14.373,0.017,-3.738) - 0.136
(14.392,0.062,-3.795) - 0.136
(14.387,0.060,-3.780) - 0.136
