Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 2474
Total Rays: 8000
Hit Ratio: 30.9 %%
Total polygons: 20684
Time [seconds]: 4.178
Time [millisec]: 4178
Time [microsec]: 4178315

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(15.764,0.199,-7.587) - 0.467
(15.845,0.286,-7.824) - 0.468
(7.929,0.062,-4.118) - 0.469
(15.902,0.189,-7.991) - 0.470
(15.894,0.215,-7.968) - 0.470
(15.862,0.277,-7.873) - 0.471
(15.924,0.070,-8.054) - 0.473
(15.911,0.165,-8.016) - 0.474
(15.887,0.243,-7.946) - 0.474
(15.928,0.002,-8.065) - 0.475
(15.829,0.300,-7.777) - 0.475
(15.739,0.102,-7.514) - 0.476
(15.745,0.145,-7.531) - 0.476
(15.792,0.279,-7.669) - 0.477
(15.781,0.263,-7.637) - 0.478
(8.108,0.069,-4.644) - 0.479
(15.733,0.061,-7.496) - 0.480
(15.803,0.297,-7.700) - 0.481
(15.920,0.141,-8.043) - 0.482
(15.751,0.190,-7.548) - 0.483
(15.880,0.275,-7.924) - 0.484
(7.919,0.037,-4.089) - 0.484
(15.769,0.250,-7.601) - 0.484
(13.447,0.018,-4.025) - 0.486
(8.114,0.026,-4.662) - 0.487
(13.460,0.002,-4.063) - 0.487
(7.923,0.108,-4.100) - 0.488
(13.455,0.045,-4.049) - 0.488
(15.934,0.046,-8.084) - 0.490
(15.727,0.018,-7.477) - 0.490
(13.468,0.029,-4.087) - 0.490
(13.434,0.035,-3.987) - 0.490
(13.442,0.062,-4.011) - 0.491
(15.813,0.320,-7.730) - 0.491
(15.855,0.317,-7.854) - 0.492
(13.425,0.008,-3.963) - 0.492
(13.463,0.073,-4.072) - 0.493
(15.930,0.117,-8.072) - 0.494
(13.450,0.090,-4.034) - 0.494
(15.839,0.329,-7.806) - 0.494
(13.481,0.012,-4.126) - 0.495
(13.476,0.056,-4.111) - 0.496
(15.756,0.239,-7.563) - 0.496
(13.429,0.080,-3.972) - 0.497
(13.420,0.053,-3.948) - 0.498
(15.873,0.311,-7.904) - 0.499
(13.437,0.108,-3.996) - 0.500
(13.471,0.102,-4.096) - 0.500
(13.458,0.119,-4.058) - 0.501
(13.412,0.026,-3.924) - 0.501
(13.490,0.040,-4.150) - 0.502
(7.913,0.083,-4.070) - 0.503
(15.729,0.136,-7.485) - 0.503
(15.908,0.248,-8.007) - 0.504
(8.118,0.100,-4.674) - 0.504
(7.909,0.011,-4.058) - 0.504
(13.484,0.085,-4.135) - 0.504
(15.917,0.221,-8.033) - 0.505
(13.445,0.137,-4.020) - 0.505
(15.736,0.181,-7.503) - 0.505
(15.723,0.092,-7.465) - 0.506
(15.823,0.348,-7.759) - 0.507
(15.899,0.278,-7.982) - 0.508
